#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"xinit."
A,wlsunset,"wayland redshift replacement."
,bc,"is used for a dropdown calculator."
,alacritty,"terminal."
,waybar,"sway info bar"
A,sway-borders-git,"wayland window manager with borders shadows."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,swayidle,"wayland idle manager."
,swaybg,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"lightweight music daemon."
,mpc,"terminal interface for mpd."
,mpv,"video player."
,xorg-xwayland,"wayland X apps compatibility."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,wf-recorder,"screen video recording"
,noto-fonts-emoji,"is an emoji font."
A,rofi-lbonn-wayland-git,"rofi for wayland."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
A,clipman-git,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,imv,"image viewer."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,swayshot,"wayland screenshot."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
,zsh-autosuggestions,"provides syntax highlighting in the shell."
A,autotiling-git,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
,htop,"is a graphical and colorful system monitor."
A,wl-roots-git,"Wayland libs."
,swaylock,"allows you to lock your computer, and quickly unlock with your password."
